track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_image_url,album_image_url,artist_image_url_valid,album_image_url_valid
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,False,True
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,,,False,False
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,https://i.scdn.co/image/ab6761610000e5eb7e2545f678354fc859de15f1,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,True,True
Calm Down (with Selena Gomez),"RÃ¯Â¿Â½Ã¯Â¿Â½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,,,False,False
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,,,False,False
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae,,True,False
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,True,True
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,https://i.scdn.co/image/ab6761610000e5eb26e8cb3ff6fc7744b312811b,https://i.scdn.co/image/ab67616d0000b273dabc48aec161901bbaa5e8b1,True,True
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,,https://i.scdn.co/image/ab67616d0000b273f201b2dc7e6e4097c6e5bbcb,False,True
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,,,False,False
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b2739954fa9f0ba8534c3897b59d,True,True
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,,https://i.scdn.co/image/ab67616d0000b273aff21e7b9470ce4affb09498,False,True
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,,,False,False
FrÃ¯Â¿Â½Ã¯Â¿Â½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,,,False,False
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b273c32b2facf8372e27744a49e7,True,True
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b273ed89a6effc847ca4a33a1f69,True,True
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,https://i.scdn.co/image/ab6761610000e5eb7e2545f678354fc859de15f1,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,True,True
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,False,True
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,,,False,False
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,,,False,False
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,,,False,False
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,False,True
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32,https://i.scdn.co/image/ab67616d0000b2733cad3eeb599206025a21dfa1,True,True
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,True,True
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec,True,True
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,,,False,False
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,,,False,False
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,,,False,False
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,False,True
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec,https://i.scdn.co/image/ab67616d0000b2733efc6490571b8d09c0355ea1,True,True
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,https://i.scdn.co/image/ab6761610000e5ebffbd43b1e54eb09a8c824f53,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2,True,True
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,https://i.scdn.co/image/ab6761610000e5eb532e8dd8ba9fbd5e78105a78,https://i.scdn.co/image/ab67616d0000b273c4d537d8c91fcecf90bc9454,True,True
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b273a3eff72f62782fb589a492f9,True,True
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68,https://i.scdn.co/image/ab67616d0000b273b13b4a434585f484548e42c9,True,True
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,https://i.scdn.co/image/ab6761610000e5ebcc91276af455a0fbc0ac56d0,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,True,True
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,True,True
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b27326ade10c17424417bd06f1d6,True,True
TÃ¯Â¿Â½Ã¯Â¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,,,False,False
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,,,False,False
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,,https://i.scdn.co/image/ab67616d0000b2731c069c836dc6cd5b34c310fe,False,True
BESO,"Rauw Alejandro, ROSALÃ¯Â¿Â½",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,,,False,False
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,,https://i.scdn.co/image/ab67616d0000b27380f5e31c0a66b5aed16d98e3,False,True
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,https://i.scdn.co/image/ab6761610000e5eb03851b1c2471a8c0b57371c4,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,True,True
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,https://i.scdn.co/image/ab6761610000e5eb89094b9ebfac2a425c2a810b,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,True,True
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,True,True
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,False,True
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,https://i.scdn.co/image/ab6761610000e5ebeb2cc96b0ed023c5e3675b6f,https://i.scdn.co/image/ab67616d0000b273ca715be1bb97fc0129955123,True,True
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,https://i.scdn.co/image/ab6761610000e5ebce33386a81a202e149934ec1,https://i.scdn.co/image/ab67616d0000b27307ea114aec222d72c2c74306,True,True
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816,https://i.scdn.co/image/ab67616d0000b273d39c80f67c29b02185ef9024,True,True
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,False,True
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,True,True
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,https://i.scdn.co/image/ab6761610000e5ebad447187a35f422307e88ad3,,True,False
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,False,True
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,,https://i.scdn.co/image/ab67616d0000b273444bab1a00d7bdb978bd8d70,False,True
CORAZÃ¯Â¿Â½Ã¯Â¿Â½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,https://i.scdn.co/image/ab6761610000e5eb77a953d390a2dfa7482899cb,,True,False
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,https://i.scdn.co/image/ab6761610000e5eb8f074ec8c25406680bf26422,https://i.scdn.co/image/ab67616d0000b27374f5012dd4c7951eabbaee65,True,True
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,,,False,False
Novidade na Ã¯Â¿Â½Ã¯Â¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,,,False,False
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,,,False,False
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,False,True
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,https://i.scdn.co/image/ab6761610000e5ebea7538654040e553a7b0fc28,https://i.scdn.co/image/ab67616d0000b273ccbbc243b809803ac62ad49a,True,True
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,,,False,False
Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,https://i.scdn.co/image/ab6761610000e5eba837a6cb82dd949d5e1f9b53,https://i.scdn.co/image/ab67616d0000b273364f4be3f9c2a01a4765a36b,True,True
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,,,False,False
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,https://i.scdn.co/image/ab6761610000e5ebbd634295d99c61823c517c3f,https://i.scdn.co/image/ab67616d0000b2739c6315300f577cf0eeb0dd68,True,True
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,https://i.scdn.co/image/ab6761610000e5ebca2fee52c41d3f58ceb6474b,https://i.scdn.co/image/ab67616d0000b273663e84fecc295280b56dc695,True,True
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,,,False,False
DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,https://i.scdn.co/image/ab6761610000e5eb40a7268dd742e5f63759b960,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,True,True
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,,,False,False
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,True,True
Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b2734f68e7b4b983953a0f188447,True,True
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://i.scdn.co/image/ab67616d0000b273f8cdf8e85bc179a475d581ba,True,True
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,True,True
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,True,True
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,,,False,False
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,True,True
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,https://i.scdn.co/image/ab67616d0000b2731303ee5b2e9a7a294efa35da,True,True
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,https://i.scdn.co/image/ab6761610000e5eb80668ba2b15094d083780ea9,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,True,True
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,https://i.scdn.co/image/ab6761610000e5eb374620b17c4a16d8c99f2369,https://i.scdn.co/image/ab67616d0000b2733eb3f7ed54bc2bb04bdf2262,True,True
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,,,False,False
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,https://i.scdn.co/image/ab6761610000e5eb1da7ba1c178ab9f68d065197,https://i.scdn.co/image/ab67616d0000b27396c2ed12fcaadba5e1eac696,True,True
